unique_video_id,filename,Number_of_vertice,Number_of_edge,in_degree,out_degree,betweenness,density,transitivity,reciprocity,constraint,Number_of_topics,Content_type,Verified_status,Number_of_thumbs,Number_of_transmits,Number_of_comments,Followee,Follower,Publisher,Government_account,Unnamed: 12,Video_duration,Publish_date,Number_of_views,Video_length,nowtime,Published_days
249,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/全球最大冰山从南极脱离 形似熨衣板.csv.csv,280,841,279,279,76876,0.0107654889912954,0.0176616806942567,0.684273709483794,0.990093337426093,3,2,1,3376,126,370,16,1305000,央视网快看,1,https://www.bilibili.com/video/BV1mA411G7Yw?from=search&seid=6075194328091201621,00:00:46,2021-05-20 16:43:32,49000,46,2022-01-09 14:08:02.086693,233
250,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/缺席G7气候会议后，特朗普：我可不想把财富葬送在做梦和风车上.csv.csv,1128,3409,1127,1127,1266710,0.0026815999295185,0.0034883259595948,0.664110881745798,0.995657124762346,13,1,1,9616,407,1741,42,7194000,观察者网,1,https://www.bilibili.com/video/BV1a4411B7rS?from=search&seid=6075194328091201621,00:01:47,2019-08-27 11:54:57,292000,107,2022-01-09 14:08:02.086693,866
251,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/如果冰川全部熔化 那么地球看起来是怎样的？.csv.csv,1057,3200,1056,1056,1111859,0.0028668902841088,0.0045181379689312,0.67154213036566,0.996112885716024,16,2,2,1313,237,1537,1,36000,忠诚物理,2,https://www.bilibili.com/video/BV1ps411G7jC?from=search&seid=6075194328091201621,00:02:44,2018-07-02 09:17:35,251000,164,2022-01-09 14:08:02.086693,1287
252,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/如果伊万卡当美国总统，她会关心哪些事？.csv.csv,460,1365,459,459,209327,0.0064649048025007,0.0093051563324925,0.683582089552239,0.990488296233939,10,1,1,427,38,606,28,1387000,环球时报,1,https://www.bilibili.com/video/BV1hW411i7ai?from=search&seid=6075194328091201621,00:01:35,2018-01-08 15:00:48,77000,95,2022-01-09 14:08:02.086693,1461
253,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/如何让特朗普意识到气候变化问题的严峻性？招招致命！句句扎心！.csv.csv,269,803,268,268,71003,0.0111385451922543,0.016687785915251,0.674242424242424,0.987393797332176,7,1,1,1145,123,372,28,1387000,环球时报,1,https://www.bilibili.com/video/BV1ks411M7Ca?from=search&seid=6075194328091201621,00:01:42,2018-08-09 12:30:32,28000,102,2022-01-09 14:08:02.086693,1249
254,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/瑞典“环保少女”嘲讽英美法领导人在气候行动上毫无作为.csv.csv,382,1135,381,381,144253,0.0077984361902406,0.0105709490297694,0.688495575221239,0.990672563651108,2,1,1,2057,52,308,12,2129000,小央视频,1,https://www.bilibili.com/video/BV1h7411e7PJ?from=search&seid=6075194328091201621,00:01:34,2020-01-22 15:59:00,78000,94,2022-01-09 14:08:02.086693,717
255,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/瑞典“环保少女”PK特朗普！达沃斯上演气候变化大辩论.csv.csv,255,756,254,254,63757,0.0116720704029643,0.0164097794313048,0.672872340425532,0.98669471389341,2,1,1,1253,94,466,28,89000,中新视频,1,https://www.bilibili.com/video/BV1ZQ4y1z7sr?from=search&seid=6075194328091201621,00:01:21,2021-09-30 15:07:53,47000,81,2022-01-09 14:08:02.086693,100
256,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/瑞典环保少女：我没资格给拜登打分，但…….csv.csv,1835,5555,1834,1834,3357251,0.001650625930427,0.0023173561760007,0.666306111411574,0.997630805900519,16,1,1,24000,287,2133,42,7194000,观察者网,1,https://www.bilibili.com/video/BV1iA411T7qK?from=search&seid=6075194328091201621,00:01:54,2021-03-09 16:15:38,490000,114,2022-01-09 14:08:02.086693,305
257,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/瑞典环保少女拒领36万奖金，英博物馆还以她命名了一甲虫.csv.csv,692,2091,691,691,475396,0.0043729034740637,0.00665772982958,0.665701881331404,0.993887450487021,15,3,1,2235,52,1169,354,17000,君行国际义工旅行,2,https://www.bilibili.com/video/BV1FE41187JN?from=search&seid=6075194328091201621,00:01:17,2019-10-31 18:14:21,216000,77,2022-01-09 14:08:02.086693,800
258,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/瑞典小公举大闹气候大会，他们又开始扯“中国人少吃肉”了.csv.csv,2139,6480,2138,2138,4565491,0.0014169565086191,0.0018213750282211,0.671821837302815,0.9976661054519,13,1,1,35000,545,2542,164,1263000,留学生日报,2,https://www.bilibili.com/video/BV1DP4y1L7MT?from=search&seid=6075194328091201621,00:08:18,2021-11-05 12:49:57,421000,498,2022-01-09 14:08:02.086693,65
259,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/桑德斯：从盲目乐观到气急败坏，美对华政策令人痛心.csv.csv,165,484,164,164,26528,0.0178861788617886,0.027260926006058,0.701244813278008,0.980097396348592,1,1,1,4695,36,185,51,2047000,司马南,1,https://www.bilibili.com/video/BV1R64y1t7g6?from=search&seid=6075194328091201621,00:19:14,2021-06-24 19:20:17,54000,1154,2022-01-09 14:08:02.086693,198
260,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/什么都扯上中国？BBC被嘉宾当场打脸.csv.csv,205,613,204,204,41161,0.0146580583452893,0.0220065455366211,0.683006535947712,0.980727192539616,6,1,1,6278,35,220,12,2129000,小央视频,1,https://www.bilibili.com/video/BV1QZ4y1c727?from=search&seid=6075194328091201621,00:00:30,2021-04-16 17:56:52,63000,30,2022-01-09 14:08:02.086693,267
